SL,PAN Style,Image,Cat Lvl_1,Cat Lvl_2,Cat Lvl_3,Item,Color,Cost (€),Price (€),S,M,L,XL,XXL,3XL,6,8,10,12,14,16,18,19,20,21,22,23,24,48,50,52,54,56,58,62,68,74,80,86,92
16,PAN2022104,,Men,Top,Padding Jacket,Mens Padding Jacket,BLACK,7.18,18.2, -   ,21,11,6,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
36,PAN2022104B,,,,Padding Jacket,Mens Padding Jacket,WHITE,7.18,18.2, -   ,21,10,7,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
37,PAN2022104C,,,,Padding Jacket,Mens Padding Jacket,STEEL GREY,7.18,18.2, -   ,21,11,6,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
38,PAN2022104D,,,,Padding Jacket,Mens Padding Jacket,BLACK MELANGE,7.18,18.2, -   ,14,18,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
39,PAN2022104E,,,,Padding Jacket,Mens Padding Jacket,MEHENDI,7.18,18.2, -   ,19,11,3,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
40,PAN2022104F,,,,Padding Jacket,Mens Padding Jacket,Coronet Blue,7.18,18.2, -   ,20,11,7,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
41,PAN2022104G,,,,Padding Jacket,Mens Padding Jacket,Dusted Clay,7.18,18.2, -   ,18,3,6,3, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
42,PAN2022104H,,,,Padding Jacket,Mens Padding Jacket,Metallic Grey,7.18,18.2, -   ,20,11,7,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
43,PAN2022104I,,,,Padding Jacket,Mens Padding Jacket,Smoke Green,7.18,18.2, -   ,20,11,7,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
44,PAN2022104J,,,,Padding Jacket,Mens Padding Jacket,Tan,7.18,18.2, -   ,19,8,10,3, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
17,PAN2022093,,Men,Top,Padding Jacket,Men's Padding Jacket,BLACK,6.99,17.95, -   ,20,12, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
18,PAN2022105,,Men,Top,Padding Jacket,Mens Padding Jacket,BLACK MELANGE,8.74,20.28,-,17,13,5, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
20,PAN2022105B,,,,Padding Jacket,Mens Padding Jacket,BURGANDY,8.74,20.28,-,19,12,6,3, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
21,PAN2022105C,,,,Padding Jacket,Mens Padding Jacket,COFFEE BROWN,8.74,20.28,-,18,12,8,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
22,PAN2022105D,,,,Padding Jacket,Mens Padding Jacket,KALAMATA,8.74,20.28, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
23,PAN2022105E,,,,Padding Jacket,Mens Padding Jacket,Metallic Navy,8.74,20.28,-,17,10,11,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
24,PAN2022105F,,,,Padding Jacket,Mens Padding Jacket,Midnight,8.74,20.28,-,19,14,6,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
25,PAN2022105G,,,,Padding Jacket,Mens Padding Jacket,Stucco,8.74,20.28,-,20,10,8,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
26,PAN2022105H,,,,Padding Jacket,Mens Padding Jacket,Tap Shoe,8.74,20.28,-,21,10,7,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
19,PAN2022103,,Men,Top,Padding Jacket,Mens Padding Jacket,WHITE,8.02,19.32,-,14,3,7, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
46,PAN2022103D,,,,Padding Jacket,Mens Padding Jacket,BLACK,8.02,19.32,-,5,4, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
