SL,PAN Style,Image,Cat Lvl_1,Cat Lvl_2,Cat Lvl_3,Item,Color,Cost (€),Price (€),S,M,L,XL,2XL,3XL,6,8,10,12,14,16,18,19,20,21,22,23,24,50,56,62,68,74,80,86,92
117,,,Men,Bottom,Tricot,Mens Long Pant,NAVY,4.5,14.63,2,30,51,47,31,3,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
118,PAN2022004,,Women,Bottom,Ladies Pant,Women's trouser pants,BLACK,2.38,11.79,-,-,-,-, - , - ,-,120,333,657,135,1020,1020,-,375,-,360, - , - ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
119,,,Women,Bottom,Ladies Pant,Women's trouser pants,YELLOW,2.38,11.79,-,-,-,-, - , - ,-,260,310,1040,1517,1880,1440,-,896,-,285, - , - ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
120,,,Women,Bottom,Ladies Pant,Women's trouser pants,OLIVE,2.38,11.79,-,-,-,-, - , - ,-,100,160,15,30,220,134,-,  -   ,-,105, - , - ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
121,,,Women,Bottom,Ladies Pant,Women's trouser pants,RED,2.38,11.79,-,-,-,-, - , - ,-,70,140,70,210,384,70,-,80,-,46, - , - ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
122,PAN2022006,,Women,Bottom,Jeggings,Women's Coated  Jegging,BLACK,2.38,11.79,-,-,-,-, - , - ,15,50,100,50,60,60,35,-,24,-, - , - , - ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
123,,,Women,Bottom,Jeggings,Women's Coated  Jegging,RED,2.38,11.79,-,-,-,-, - , - ,2,10,12,6,4,0,5,-,0,-, - , - , - ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
124,PAN2022005,,Women,Bottom,Ladies Pant,Women's pants,NAVY,2.38,11.79,-,-,-,-, - , - ,-,-,-,-,-,-,35,330,790,720,990,126,360,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
125,,,Women,Bottom,Ladies Pant,Women's pants,BLACK,2.38,11.79,-,-,-,-, - , - ,-,-,-,-,-,-,-,10,10,10,-,5,-,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
126,,,Men,Bottom,Boy's Pant,CANVAS BOYS SHORTS,BLACK,2.38,11.79,-,-,-,-, - , - ,115,100,110,110,30,-,-,-,-,-,-,-,-,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
127,,,Men,Bottom,Boy's Pant,CANVAS BOYS SHORTS,BEIGE,2.38,11.79,-,-,-,-, - , - ,79,2,70,50,  -   ,-,-,-,-,-,-,-,-,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
128,PAN2022114,,Women,Bottom,Girl's Pant,GIRLS LONG PANT,MAROON,4.75,14.96,-,-,-,-, - , - ,41,32,67,59,50,-,-,-,-,-,-,-,-,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
129,,,Women,Bottom,Girl's Pant,GIRLS LONG PANT,VERT,4.75,14.96,-,-,-,-, - , - , - ,19,29,30,28,-,-,-,-,-,-,-,-,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
130,,,Women,Bottom,Girl's Pant,GIRLS LONG PANT,BEIGE,4.75,14.96,-,-,-,-, - , - ,40,30,24,46,35,-,-,-,-,-,-,-,-,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
131,PAN2022115,,Men,Bottom,Men's Denim Shorts,MENS SHORTS,Grey,4.75,14.96,11,33,22,29,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
132,,,Men,Bottom,Men's Denim Shorts,MENS SHORTS,Blue,4.75,14.96,50,69,50,3,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
133,,,Men,Bottom,Men's Denim Shorts,MENS SHORTS,Indigo,4.75,14.96,55,60,54,6,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
134,PAN2022115_A,,Men,Bottom,Men's Twill Shorts,MENS SHORTS,BLACK,4.75,14.96,23,28,34,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
135,PAN2022116,,Men,Top,MENS SHIRT,MENS SHIRT,ARMY CHECK,4.75,14.96,22,23,23,  20.00 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
136,,,Men,Top,MENS SHIRT,MENS SHIRT,NEVY,4.75,14.96,7,8,8,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
137,PAN2022117,,Men,Top,LADIES SHIRT,LADIES SHIRT,WHITE,4.75,14.96,34,36,37,  38.00 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
138,,,Men,Top,LADIES SHIRT,LADIES SHIRT,BLUSH/PINK,4.75,14.96,40,37,41,  33.00 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
139,PAN2022113_A,,Women,Top,Sweat Shirt,Womens Round Neck Sweat Shirt,Tap Shoe,2.68,12.2,  -   ,10,6,5,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,Bright White,2.68,12.2,  -   ,10,6,5,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,sap green,2.68,12.2,  -   ,10,6,5,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,minion yellow,2.68,12.2,  -   ,10,6,5,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,amber yellow,2.68,12.2,  -   ,10,6,5,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,fragrant lilac,2.68,12.2,  -   ,10,6,5,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,bright marigold,2.68,12.2,  -   ,10,6,5,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,peony,2.68,12.2,  -   ,10,6,5,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,serenity,2.68,12.2,  -   ,10,6,5,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,delphinium blue,2.68,12.2,  -   ,10,6,5,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,fuchia purple,2.68,12.2,  -   ,10,6,5,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,scooter,2.68,12.2,  -   ,10,6,5,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,blueprint,2.68,12.2,  -   ,10,6,5,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,surf the web,2.68,12.2,  -   ,10,6,5,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,trekking green,2.68,12.2,  -   ,10,6,5,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,lt grey mel,2.68,12.2,  -   ,10,6,5,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,Canyon Rose,2.68,12.2,  -   ,10,6,5,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,Dark Sapphire ,2.68,12.2,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,Lavender,2.68,12.2,  -   ,10,6,5,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,Silver Pine,2.68,12.2,  -   ,10,6,5,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,bombay brown,2.68,12.2,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,rose voilet,2.68,12.2,  -   ,10,6,5,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
140,PAN2022078,,Men,Top,Sweat Shirt,Men's Round Neck Sweat Shirt,tap shoe,4.05,14.02,  -   ,8,7,6,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,SULPHUR SPRING,4.05,14.02,  -   ,8,7,6,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,bright white,4.05,14.02,  -   ,8,7,6,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,grapeade,4.05,14.02,  -   ,8,7,6,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,DUSTY BLUE,4.05,14.02,  -   ,8,7,6,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,ICED COFFEE,4.05,14.02,  -   ,8,7,6,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,blue turquoise,4.05,14.02,  -   ,8,7,6,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,orange rust,4.05,14.02,  -   ,8,7,6,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,oxblood red,4.05,14.02,  -   ,8,7,6,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,delphinium blue,4.05,14.02,  -   ,8,7,6,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,DARK SAPPHIRE ,4.05,14.02,  -   ,8,7,6,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,crabapple,4.05,14.02,  -   ,8,7,6,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,withered rose,4.05,14.02,  -   ,8,7,6,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,peacoat blue,4.05,14.02,  -   ,8,7,6,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,DESERT SAGE,4.05,14.02,  -   ,8,7,6,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,amber yellow,4.05,14.02,  -   ,8,7,6,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,pompeian red,4.05,14.02,  -   ,8,7,6,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,trekking green,4.05,14.02,  -   ,8,7,6,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,lt grey mel,4.05,14.02,  -   ,8,7,6,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
141,PAN2022077,,Men,Top,Hooded Sweat Shirt,Men's Hooded Sweatshirt,blue turquoise,4.05,14.02,  -   ,8,7,6,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,pompeian red,4.05,14.02,  -   ,8,7,6,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,lt grey mel,4.05,14.02,  -   ,8,7,6,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,MALLARD GREEN ,4.05,14.02,  -   ,8,3,2,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,SULPHUR SPRING,4.05,14.02,  -   ,8,7,6,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,oxblood red,4.05,14.02,  -   ,8,7,6,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,orange rust,4.05,14.02,  -   ,8,7,6,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,amber yellow,4.05,14.02,  -   ,8,7,6,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,tap shoe,4.05,14.02,  -   ,8,7,6,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,DESERT SAGE,4.05,14.02,  -   ,8,7,6,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,DUSTY BLUE,4.05,14.02,  -   ,8,7,6,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,pale mauve,4.05,14.02,  -   ,8,7,6,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,ICED COFFEE,4.05,14.02,  -   ,8,7,6,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,trekking green,4.05,14.02,  -   ,8,7,6,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,peacoat blue,4.05,14.02,  -   ,8,7,6,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,DRESS BLUE,4.05,14.02,  -   ,8,7,6,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
142,PAN2022120,,Women,Bottom,Knit trouser ,Women's Knit trouser,OFF WHITE,2.38,11.79,131,226,260,69,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,YELLOW,2.38,11.79,121,365,400,100,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
