SL,Style,PAN Styl,Image,Cat Lvl_1,Cat Lvl_2,Cat Lvl_3,Item,Color,Cost (€),Price (€),S,M,L,XL,XXL,3XL,Total,Brand
,,,,,,,,Tan,7.18,18.20,  -   ,9,14,2,  -   ,  -   ,  25.00
18,HLJ-NYLN-005,PAN2022103,,Men,Top,Padding Jacket,Mens Padding Jacket,WHITE,8.02,19.32,  -   ,2,2,  -   ,  -   ,  -   ,  4.00
,,,,,,,,BLACK,8.02,19.32,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,,Cappuccino,8.02,19.32,  -   ,4,1,1,5,  -   ,  11.00
,,,,,,,,Coronet Blue,8.02,19.32,  -   ,9,  -   ,  -   ,  -   ,  -   ,  9.00
,,,,,,,,Metallic Navy,8.02,19.32,  -   ,5,  -   ,3,  -   ,  -   ,  8.00
,,,,,,,,Smoke Green,8.02,19.32,  -   ,2,  -   ,  -   ,  -   ,  -   ,  2.00
,,,,,,,,Stucco,8.02,19.32,  -   ,7,12,1,  -   ,  -   ,  20.00
19,HLJ-NYLN-015,PAN2022096,,Men,Top,Padding Jacket,Mens Padding Jacket,Forget-Me-Not,6.17,16.85,  -   ,5,3,2,1,  -   ,  11.00
,,,,,,,,Four Leaf Clover,6.17,16.85,  -   ,13,5,8,3,  -   ,  29.00
,,,,,,,,Gray Ridge,6.17,16.85,  -   ,4,1,1,2,  -   ,  8.00
,,,,,,,,Iceberg Green,6.17,16.85,  -   ,  -   ,  -   ,7,  -   ,  -   ,  7.00
,,,,,,,,Iced Coffee,6.17,16.85,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,,Orange Rust,6.17,16.85,  -   ,2,  -   ,5,  -   ,  -   ,  7.00
,,,,,,,,Oxblood Red,6.17,16.85,  -   ,4,3,1,3,  -   ,  11.00
,,,,,,,,Pale Mauve,6.17,16.85,  -   ,9,4,3,  -   ,  -   ,  16.00
,,,,,,,,Peacoat Blue,6.17,16.85,  -   ,6,10,  -   ,1,  -   ,  17.00
,,,,,,,,Pompeian Red,6.17,16.85,  -   ,4,3,3,  -   ,  -   ,  10.00
,,,,,,,,Sea Spray,6.17,16.85,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,,Trekking Green,6.17,16.85,  -   ,16,9,  -   ,  -   ,  -   ,  25.00
,,,,,,,,White,6.17,16.85,  -   ,1,5,2,  -   ,  -   ,  8.00
,,,,,,,,Tap Shoe,6.17,16.85,  -   ,16,1,1,  -   ,  -   ,  18.00
,,,,,,,,Bamboo,6.17,16.85,  -   ,5,1,5,3,  -   ,  14.00
,,,,,,,,Chicory Coffee,6.17,16.85,  -   ,20,14,2,1,  -   ,  37.00
,,,,,,,,China Blue,6.17,16.85,  -   ,17,  -   ,  -   ,  -   ,  -   ,  17.00
,,,,,,,,Dk Grey,6.17,16.85,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
20,HLJ-NYLN-016,PAN2022097,,Men,Top,Padding Jacket,Mens Padding Jacket,Brick Red,6.56,17.37,  -   ,1,3,2,  -   ,  -   ,  6.00
,,,,,,,,Kalamata,6.56,17.37,  -   ,4,  -   ,2,  -   ,  -   ,  6.00
,,,,,,,,Metallic Navy,6.56,17.37,  -   ,4,2,  -   ,  -   ,  -   ,  6.00
,,,,,,,,Tan,6.56,17.37,  -   ,3,4,1,1,  -   ,  9.00
21,HLJ-NYLN-017,PAN2022111,,Men,Top,Padding Jacket,Mens Padding Jacket,Brick Red,4.84,15.07,  -   ,8,  -   ,  -   ,  -   ,  -   ,  8.00
,,,,,,,,Cappuccino,4.84,15.07,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,,Dusted Clay,4.84,15.07,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
,,,,,,,,Ochre,4.84,15.07,  -   ,9,5,10,1,  -   ,  25.00
,,,,,,,,Silver Blue,4.84,15.07,  -   ,9,4,4,2,  -   ,  19.00
,,,,,,,,Chicory Coffee,4.84,15.07,  -   ,5,5,5,  -   ,  -   ,  15.00
,,,,,,,,Dk Grey,4.84,15.07,  -   ,4,2,2,  -   ,  -   ,  8.00
,,,,,,,,Ensign Blue,4.84,15.07,  -   ,8,2,2,  -   ,  -   ,  12.00
,,,,,,,,Forget-Me-Not,4.84,15.07,  -   ,6,2,2,  -   ,  -   ,  10.00
,,,,,,,,Four Leaf Clover,4.84,15.07,  -   ,4,3,2,3,  -   ,  12.00
,,,,,,,,Iceberg Green,4.84,15.07,  -   ,21,19,2,1,  -   ,  43.00
,,,,,,,,Peacoat Blue,4.84,15.07,  -   ,5,3,  -   ,1,  -   ,  9.00
,,,,,,,,Trekking Green,4.84,15.07,  -   ,  -   ,  -   ,8,3,  -   ,  11.00
,,,,,,,,Black,4.84,15.07,  -   ,22,16,8,2,  -   ,  48.00
22,PY-01,PAN2022098,,Women,Top,Padding Jacket,Womens Padding Jacket,LIGHT GREY,7.48,18.59,  -   ,3,2,3,  -   ,  -   ,  8.00
,,,,,,,,SKY,7.48,18.59,  -   ,3,5,0,  -   ,  -   ,  8.00
,,,,,,,,DUSTY PINK,7.48,18.59,  -   ,2,3,2,  -   ,  -   ,  7.00
,,,,,,,,FOREST,7.48,18.59,  -   ,18,5,  -   ,  -   ,  -   ,  23.00
,,,,,,,,MINT,7.48,18.59,  -   ,3,4,3,  -   ,  -   ,  10.00
,,,,,,,,BLACK,7.48,18.59,  -   ,6,2,  -   ,  -   ,  -   ,  8.00
23,PY-05,PAN2022100,,Women,Top,Padding Jacket,Womens Padding Jacket,LIGHT PINK,6.56,17.38,  -   ,4,2,3,  -   ,  -   ,  9.00
24,PY-06,PAN2022101,,Women,Top,Padding Jacket,Womens Padding Jacket,BURGANDY,7.69,18.88,  -   ,4,3,2,  -   ,  -   ,  9.00
25,TJK02F,PAN2022088,,Women,Top,Padding Jacket,Womens Padding Jacket,BURGANDY,5.08,15.40,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -
26,TW-313,PAN2022089,,Women,Top,Padding Jacket,Womens Padding Jacket,Black,8.17,19.52,  -   ,5,2,1,  -   ,  -   ,  8.00
,,,,,,,,Metallic - Burgandy,8.17,19.52,  -   ,3,3,11,  -   ,  -   ,  17.00
,,,,,,,,OLIVE,8.17,19.52,  -   ,3,  -   ,2,  -   ,  -   ,  5.00
,,,,,,,,Metallic - Silver ,8.17,19.52,  -   ,9,3,1,  -   ,  -   ,  13.00
,,,,,,,,Green Bay,8.17,19.52,  -   ,5,2,2,  -   ,  -   ,  9.00
,,,,,,,,Caribou,8.17,19.52,  -   ,5,6,7,  -   ,  -   ,  18.00
,,,,,,,,Shopping Bag,8.17,19.52,  -   ,1,8,6,  -   ,  -   ,  15.00
27,TW-316,PAN2022090,,Women,Top,Padding Jacket,Womens Padding Jacket,BURGANDY,7.98,19.26,  -   ,3,3,  -   ,  -   ,  -   ,  6.00
28,TW-320,PAN2022091,,Women,Top,Padding Jacket,Womens Padding Jacket,SILVER,6.63,17.47,  -   ,4,  -   ,5,  -   ,  -   ,  9.00
29,CAW-1330,PAN2022007,,Women,Top,Sweater,Womens Sweater,Paisely Purple ,3.02,12.65,  -   ,4,2,2,  -   ,  -   ,  8.00
,,,,,,,,Rose Dawn,3.02,12.65,  -   ,5,2,4,  -   ,  -   ,  11.00
,,,,,,,,SMOKE GREY,3.02,12.65,  -   ,17,12,10,  -   ,  -   ,  39.00
,,,,,,,,Mustang,3.02,12.65,  -   ,5,4,2,  -   ,  -   ,  11.00
,,,,,,,,Surf The Web,3.02,12.65,  -   ,9,  -   ,  -   ,  -   ,  -   ,  9.00
